rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
415,1960,174,X,8.0,79.0,95.0,A series of stories following a week in the life of a philandering tabloid journalist living in Rome., La dolce vita
416,1982,95,AA,8.0,86.0,47.0,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone., Pink Floyd: The Wall
417,1999,112,U,8.0,98.0,86.0,An old man makes a long journey by lawnmower to mend his relationship with an ill brother., The Straight Story
418,2007,115,18,8.0,111.0,33.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.", Elite Squad
419,1998,105,15,8.0,94.0,82.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.", The Celebration
420,1966,131,X,8.0,80.0,75.0,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.", Who's Afraid of Virginia Woolf?
421,2002,101,15,8.0,132.0,75.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.", Infernal Affairs
422,1953,120,PG,8.0,59.0,84.0,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.", Stalag 17
423,1958,95,A,8.0,110.0,99.0,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town.", Touch of Evil
424,1996,136,15,8.0,48.0,92.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.", Secrets & Lies
425,1920,0,PG,8.0,70.0,81.0,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.", The Cabinet of Dr
426,2020,103,PG,8.0,39.0,87.0,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night., Wolfwalkers
427,2020,101,15,8.0,38.0,97.0,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."," Quo vadis, Aida?"
428,2013,137,U,8.0,55.0,89.0,"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices.", The Tale of the Princess Kaguya
429,1982,158,PG,8.0,39.0,81.0,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.", Fitzcarraldo
430,1961,134,X,8.0,87.0,90.0,An up-and-coming pool player plays a long-time champion in a single high-stakes match., The Hustler
431,1974,155,AA,8.0,29.0,88.0,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.", A Woman Under the Influence
432,2007,112,12,8.0,111.0,92.0,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed., The Diving Bell and the Butterfly
433,2004,141,12A,8.0,32.0,88.0,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.", Nobody Knows
434,1998,169,15,8.0,69.0,58.0,"A baby boy discovered on an ocean liner in 1900 grows into a musical prodigy, never setting foot on land.", The Legend of 1900
435,1966,189,AA,8.0,57.0,81.0,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.", Andrei Rublev
436,2014,93,PG,8.0,63.0,85.0,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.", Song of the Sea
437,1995,170,15,8.0,61.0,79.0,"Two underground black marketeers, Marko and Blacky, sell weapons to the Communist resistance in wartime Belgrade, living the good life along the way.", Underground
438,1947,97,PG,8.0,41.0,85.0,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.", Out of the Past
439,1957,96,PG,8.0,36.0,100.0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician., Sweet Smell of Success
440,1945,86,PG,8.0,44.0,92.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.", Brief Encounter
441,2001,137,Not Rated,8.0,51.0,81.0,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.", My Sassy Girl
442,2004,126,PG,8.0,85.0,74.0,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.", The Sea Inside
443,1998,127,15,8.0,57.0,73.0,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.," Black Cat, White Cat"
444,2014,196,15,8.0,56.0,88.0,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent., Winter Sleep
445,1972,138,AA,8.0,50.0,81.0,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.", Sleuth
446,2007,96,12A,8.0,101.0,90.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution., Persepolis
447,1972,91,X,8.0,37.0,81.0,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.", Cries and Whispers
448,2003,103,15,8.0,87.0,85.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.," Spring, Summer, Fall, Winter"
449,1995,189,PG,8.0,78.0,81.0,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.", Dilwale Dulhania Le Jayenge
450,1957,110,PG,8.0,56.0,81.0,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.", Throne of Blood
451,1998,110,15,8.0,43.0,80.0,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.", Central Station
452,1960,89,15,8.0,32.0,81.0,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.", The Virgin Spring
453,1962,95,PG,8.0,40.0,81.0,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.", Ivan's Childhood
454,2008,130,12A,8.0,55.0,68.0,"Soon after buying an expensive cello, Daigo learns that his orchestra is disbanding. He moves back to his hometown with his wife, where he answers an ad for what Daigo thinks is a travel agency but is, in actuality, a mortuary.", Departures
455,1987,104,PG,8.0,36.0,88.0,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.", Au Revoir les Enfants
456,1945,103,A,8.0,29.0,81.0,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape."," Rome, Open City"
457,1949,106,PG,8.0,40.0,81.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession., Kind Hearts and Coronets
458,2014,160,15,8.0,58.0,81.0,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.", Haider
459,2010,115,18,8.0,87.0,71.0,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.", Elite Squad 2: The Enemy Within
460,1940,99,PG,8.0,39.0,96.0,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.", The Shop Around the Corner
461,2018,188,15,8.0,28.0,86.0,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.", The Wild Pear Tree
462,2004,127,15,8.0,67.0,81.0,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A., G
463,1962,96,PG,8.0,41.0,81.0,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.", Sanjuro
464,2004,140,R,8.0,41.0,64.0,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.", Brotherhood
465,1962,95,X,8.0,36.0,81.0,The guests at an upper-class dinner party find themselves unable to leave., The Exterminating Angel
466,1994,160,U,8.0,55.0,81.0,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal., Andaz Apna Apna
